모델명,연비,연료타입,차급,외형,엔진,가격,이미지,출력
2025 폭스바겐 ID.5,5.0km/kwh,전기,준중형,SUV,2WD,6099,http://file.carisyou.com/upload/2025/01/07/FILE_202501070128246050.png,
2025 지프 랭글러(4세대),7.5 ~ 8.2km/ℓ,가솔린,"준중형,중형",SUV,4WD,8590,http://file.carisyou.com/upload/2024/09/12/FILE_202409121114396850.png,272.0
2025 랜드로버 디스커버리,7.5 ~ 10.1km/ℓ,"가솔린,디젤",중형,SUV,4WD,1,http://file.carisyou.com/upload/2021/06/23/FILE_202106231025152620.png,300.0
2025 폭스바겐 ID.4,4.9km/kwh,전기,준중형,SUV,2WD,5999,http://file.carisyou.com/upload/2022/09/15/FILE_202209150246519830.png,
2025 아우디 Q4 e-트론,4.7km/kwh,전기,준중형,SUV,2WD,7380,http://file.carisyou.com/upload/2022/09/07/FILE_202209071127449620.png,
2024 아우디 A4(5세대),10.6 ~ 16.9km/ℓ,"가솔린,디젤",준중형,세단,FF,6722,http://file.carisyou.com/upload/2020/06/03/FILE_202006030108442820.png,204.0
2025 BMW 2시리즈(2세대),9.6km/ℓ,가솔린,준중형,쿠페,4WD,7310,http://file.carisyou.com/upload/2019/11/04/FILE_201911040330378920.png,387.0
2025 BMW X6 M(3세대),7.0km/ℓ,가솔린,중형,SUV,4WD,19580,http://file.carisyou.com/upload/2023/07/05/FILE_202307050422307370.png,625.0
2025 벤츠 GLE(4세대),7.8 ~ 11.6km/ℓ,"가솔린,디젤",중형,SUV,4WD,11660,http://file.carisyou.com/upload/2023/08/28/FILE_202308280216070440.png,269.0
2025 벤츠 CLE,9.1 ~ 11.7km/ℓ,가솔린,중형,"컨버터블,쿠페외형전체>",FR,1,http://file.carisyou.com/upload/2024/02/16/FILE_202402160955503020.png,204.0
2025 현대 팰리세이드 하이브리드(LX3),11.4 ~ 14.1km/ℓ,가솔린/하이브리드,대형,SUV,FF,6566,http://file.carisyou.com/upload/2024/12/20/FILE_202412200435289480.png,262.0
2025 현대 팰리세이드(LX3),8.2 ~ 9.7km/ℓ,가솔린,대형,SUV,FF,5946,http://file.carisyou.com/upload/2024/12/20/FILE_202412200947075910.png,281.0
2025 아우디 SQ7,6.7km/ℓ,가솔린,대형,SUV,4WD,14002,http://file.carisyou.com/upload/2024/12/20/FILE_202412200308355580.png,507.0
2025 아우디 Q7(2세대),8.1 ~ 10.5km/ℓ,"가솔린,디젤",대형,SUV,4WD,11372,http://file.carisyou.com/upload/2024/12/20/FILE_202412200331551060.png,286.0
2025 BMW X4 M,7.8km/ℓ,가솔린,준중형,SUV,4WD,13020,http://file.carisyou.com/upload/2021/11/18/FILE_202111180308063450.png,510.0
2025 BMW X6(3세대),7.8 ~ 11.9km/ℓ,"가솔린,디젤",중형,SUV,4WD,12650,http://file.carisyou.com/upload/2023/07/05/FILE_202307050349434080.png,298.0
2025 BMW X2(2세대),10.1 ~ 10.8km/ℓ,가솔린,준중형,SUV,4WD,7550,http://file.carisyou.com/upload/2024/04/03/FILE_202404030249153580.png,204.0
2025 BMW iX,3.4 ~ 3.7km/kwh,전기,중형,SUV,4WD,15220,http://file.carisyou.com/upload/2021/11/23/FILE_202111230454480600.png,
