문제 번호,제목,맞춘사람,제출,정답률,URL
1597,아스키 아트,4,14,100.0%,https://www.acmicpc.net/problem/1597
1971,High Spies,1,315,100.0%,https://www.acmicpc.net/problem/1971
1465,배열 고치기,8,114,88.9%,https://www.acmicpc.net/problem/1465
1815,방송국,7,15,87.5%,https://www.acmicpc.net/problem/1815
1887,Cow Pizza,127,172,87.0%,https://www.acmicpc.net/problem/1887
1641,삼각형 개수 세기,6,31,85.7%,https://www.acmicpc.net/problem/1641
1703,생장점,2418,3294,80.7%,https://www.acmicpc.net/problem/1703
1392,노래 악보,1788,2614,76.7%,https://www.acmicpc.net/problem/1392
1568,새,6015,8999,76.3%,https://www.acmicpc.net/problem/1568
1094,막대기,24178,38768,75.2%,https://www.acmicpc.net/problem/1094
1617,허후민,18,69,75.0%,https://www.acmicpc.net/problem/1617
1547,공,11959,18213,73.7%,https://www.acmicpc.net/problem/1547
1434,책 정리,1674,2642,73.1%,https://www.acmicpc.net/problem/1434
1864,문어 숫자,2551,3923,73.0%,https://www.acmicpc.net/problem/1864
1791,Queuing at the doctors,8,13,72.7%,https://www.acmicpc.net/problem/1791
1895,필터,1174,1865,72.2%,https://www.acmicpc.net/problem/1895
1100,하얀 칸,19331,31171,72.2%,https://www.acmicpc.net/problem/1100
1553,도미노 찾기,251,445,72.1%,https://www.acmicpc.net/problem/1553
1358,하키,3266,5140,70.7%,https://www.acmicpc.net/problem/1358
1026,보물,41134,70925,70.1%,https://www.acmicpc.net/problem/1026
1284,집 주소,6935,11044,70.0%,https://www.acmicpc.net/problem/1284
1705,컵,3,53,50.0%,https://www.acmicpc.net/problem/1705
1899,월드인의 공부 스타일,2,63,50.0%,https://www.acmicpc.net/problem/1899
1235,학생 번호,3271,7680,50.0%,https://www.acmicpc.net/problem/1235
1942,디지털시계,874,2310,50.0%,https://www.acmicpc.net/problem/1942
1267,핸드폰 요금,13179,30059,50.0%,https://www.acmicpc.net/problem/1267
1188,음식 평론가,2821,7044,49.9%,https://www.acmicpc.net/problem/1188
1356,유진수,3805,8796,49.8%,https://www.acmicpc.net/problem/1356
1833,고속철도 설계하기,404,1004,49.8%,https://www.acmicpc.net/problem/1833
1298,노트북의 주인을 찾아서,2100,5633,49.8%,https://www.acmicpc.net/problem/1298
1330,두 수 비교하기,212844,537180,49.8%,https://www.acmicpc.net/problem/1330
1766,문제집,13601,35206,49.6%,https://www.acmicpc.net/problem/1766
1768,Center of symmetry,54,158,49.5%,https://www.acmicpc.net/problem/1768
1380,귀걸이,1952,4793,49.5%,https://www.acmicpc.net/problem/1380
1519,부분 문자열 뽑기 게임,252,780,49.4%,https://www.acmicpc.net/problem/1519
1238,파티,20573,58937,49.4%,https://www.acmicpc.net/problem/1238
1135,뉴스 전하기,2215,5598,49.3%,https://www.acmicpc.net/problem/1135
1927,최소 힙,39552,103933,49.3%,https://www.acmicpc.net/problem/1927
1817,짐 챙기는 숌,2564,5933,49.3%,https://www.acmicpc.net/problem/1817
1058,친구,5724,14344,49.2%,https://www.acmicpc.net/problem/1058
1158,요세푸스 문제,46539,131551,49.2%,https://www.acmicpc.net/problem/1158
1657,두부장수 장홍준,758,2059,49.2%,https://www.acmicpc.net/problem/1657
