문제 번호,제목,맞춘사람,제출,정답률,URL
1052,물병,5746,18064,40.9,https://www.acmicpc.net/problem/1052
1163,증가하는 리스트,17,151,20.0,https://www.acmicpc.net/problem/1163
1334,다음 팰린드롬 수,828,5828,23.3,https://www.acmicpc.net/problem/1334
1194,"달이 차오른다, 가자.",5800,20015,39.6,https://www.acmicpc.net/problem/1194
1019,책 페이지,5912,21779,42.9,https://www.acmicpc.net/problem/1019
1462,퀴즈쇼,113,451,33.0,https://www.acmicpc.net/problem/1462
1246,온라인 판매,3018,7684,44.5,https://www.acmicpc.net/problem/1246
1174,줄어드는 수,2654,7628,43.3,https://www.acmicpc.net/problem/1174
1454,세비 게임,4,61,17.4,https://www.acmicpc.net/problem/1454
1805,나무수송,63,283,33.0,https://www.acmicpc.net/problem/1805
1617,허후민,18,69,75.0,https://www.acmicpc.net/problem/1617
1283,단축키 지정,2395,7328,41.7,https://www.acmicpc.net/problem/1283
1517,버블 소트,7335,37289,30.8,https://www.acmicpc.net/problem/1517
1745,숨기,77,559,25.0,https://www.acmicpc.net/problem/1745
1397,인화철도 구구칠,5,214,5.4,https://www.acmicpc.net/problem/1397
1512,주기문으로 바꾸기,170,673,42.3,https://www.acmicpc.net/problem/1512
1715,카드 정렬하기,22622,81601,35.3,https://www.acmicpc.net/problem/1715
1293,생물농축,33,149,32.0,https://www.acmicpc.net/problem/1293
1199,오일러 회로,688,13491,13.0,https://www.acmicpc.net/problem/1199
1261,알고스팟,14243,46285,43.4,https://www.acmicpc.net/problem/1261
1641,삼각형 개수 세기,6,31,85.7,https://www.acmicpc.net/problem/1641
1633,최고의 팀 만들기,894,2732,44.1,https://www.acmicpc.net/problem/1633
1486,등산,966,5177,26.8,https://www.acmicpc.net/problem/1486
1779,Text Formalization,11,273,10.2,https://www.acmicpc.net/problem/1779
1937,욕심쟁이 판다,11228,51187,30.2,https://www.acmicpc.net/problem/1937
1312,소수,6003,22189,34.4,https://www.acmicpc.net/problem/1312
